ElemName	Emiss	Effic	Temp
CMB		1.000	1.000	2.73
Atmosphere	0.060	0.940	273.
PrimMirror	0.002	0.998	273.
SecMirror	0.002	0.998	273.
ZoteWind	0.026	0.974	220.
RTMLI		0.001	0.999	180.
AluminaF	0.090	0.910	50.0
FieldLens	0.190	0.810	6.60
ApertLens	0.190	0.810	4.60
12icmMMF	0.010	0.940	5.90
8p7icmMMF	0.010	0.940	5.90	
LyotStop	0.010	0.990	5.90
CollimLens	0.190	0.810	4.60
5p7icmMMF	0.010	0.910	0.50
Lenslet		0.050	0.950	0.25
AntennaBL	1.000	0.910	0.25
AntennaMM	1.000	0.988	0.25
Microstrip	0.000	0.870	0.25
LoadResistor	0.000	1.000	0.50
